! This profile dataset was generated at ECMWF by Marco Matricardi, April 2008.
! Details on the profile dataset can be found in:
! Marco Matricardi, 2008, "The generation of RTTOV regression
! coefficients for IASI and AIRS using a new profile training set and a new
! line-by-line database", ECMWF Technical memorandum No. 564.
! http://www.ecmwf.int/publications/library/ecpublications/_pdf/tm/501-600/tm564.pdf
!
!
!
!  ECMWF 83 diverse profiles on 101 levels
!  Profile 81 is an envelope of minimum values
!  Profile 82 is an envelope of maximum values
!  Profile 83 is the mean profile
!  Format:
!  Profile number
!  Year     Month     Day     Latitude     Longitude     Surface Pressure     Land(1)/Sea(0) mask
!  P(hPa)         T(K)           Wv(ppmv)       CO2(ppmv)      O3(ppmv)       N2O(ppmv)      CO(ppmv)       CH4(ppmv)
Profile     1
   2007      2        20        57.00200   -68.80000     977.38452             0.93520
   0.500000E-02   0.202703E+03   0.153900E+01   0.373189E+03   0.239111E+00   0.243000E-02   0.140695E+01   0.126102E+00
   0.161000E-01   0.210479E+03   0.186621E+01   0.373188E+03   0.412244E+00   0.425000E-02   0.139989E+01   0.120058E+00
   0.384000E-01   0.223526E+03   0.244113E+01   0.373186E+03   0.697801E+00   0.561000E-02   0.138581E+01   0.115566E+00
   0.769000E-01   0.235507E+03   0.314813E+01   0.373181E+03   0.963467E+00   0.669000E-02   0.136184E+01   0.114716E+00
   0.137000E+00   0.245832E+03   0.413439E+01   0.373174E+03   0.118193E+01   0.386000E-02   0.132524E+01   0.138078E+00
   0.224400E+00   0.252978E+03   0.502076E+01   0.373164E+03   0.129205E+01   0.122000E-02   0.127377E+01   0.175407E+00
   0.345400E+00   0.256073E+03   0.544224E+01   0.373153E+03   0.143583E+01   0.130000E-02   0.123792E+01   0.194146E+00
   0.506400E+00   0.255984E+03   0.573639E+01   0.373144E+03   0.173279E+01   0.140000E-02   0.124599E+01   0.209404E+00
   0.714000E+00   0.253618E+03   0.609331E+01   0.373142E+03   0.217650E+01   0.179000E-02   0.120352E+01   0.222424E+00
   0.975300E+00   0.249076E+03   0.620545E+01   0.373145E+03   0.275403E+01   0.342000E-02   0.106710E+01   0.254240E+00
   0.129720E+01   0.242468E+03   0.620407E+01   0.373154E+03   0.341635E+01   0.440000E-02   0.793856E+00   0.306670E+00
   0.168720E+01   0.237935E+03   0.614574E+01   0.373169E+03   0.403813E+01   0.450000E-02   0.472046E+00   0.369423E+00
   0.215260E+01   0.235849E+03   0.601924E+01   0.373191E+03   0.463429E+01   0.399000E-02   0.255206E+00   0.437742E+00
   0.270090E+01   0.234466E+03   0.584927E+01   0.373210E+03   0.517262E+01   0.472000E-02   0.154930E+00   0.522698E+00
   0.333980E+01   0.232927E+03   0.568186E+01   0.373220E+03   0.561824E+01   0.584000E-02   0.117625E+00   0.601033E+00
   0.407700E+01   0.231076E+03   0.556541E+01   0.373216E+03   0.594696E+01   0.806000E-02   0.112039E+00   0.671264E+00
   0.492040E+01   0.228936E+03   0.543490E+01   0.373195E+03   0.622873E+01   0.100300E-01   0.106533E+00   0.730969E+00
   0.587760E+01   0.226858E+03   0.533202E+01   0.373170E+03   0.641852E+01   0.116300E-01   0.954772E-01   0.773742E+00
   0.695670E+01   0.224517E+03   0.531229E+01   0.373147E+03   0.636924E+01   0.131900E-01   0.811486E-01   0.814320E+00
   0.816550E+01   0.221947E+03   0.530018E+01   0.373123E+03   0.618343E+01   0.149400E-01   0.672660E-01   0.853024E+00
   0.951190E+01   0.219449E+03   0.512421E+01   0.373096E+03   0.615173E+01   0.166100E-01   0.592625E-01   0.889896E+00
   0.110038E+02   0.218400E+03   0.482100E+01   0.373063E+03   0.634314E+01   0.191900E-01   0.568866E-01   0.934142E+00
   0.126492E+02   0.218000E+03   0.460633E+01   0.373025E+03   0.628559E+01   0.221500E-01   0.569564E-01   0.980989E+00
   0.144559E+02   0.217731E+03   0.449398E+01   0.372980E+03   0.599267E+01   0.249800E-01   0.588166E-01   0.102587E+01
   0.164318E+02   0.217274E+03   0.448003E+01   0.372936E+03   0.551750E+01   0.292800E-01   0.602298E-01   0.108097E+01
   0.185847E+02   0.216496E+03   0.453323E+01   0.372894E+03   0.497458E+01   0.336200E-01   0.613601E-01   0.113547E+01
   0.209224E+02   0.215344E+03   0.453721E+01   0.372868E+03   0.467410E+01   0.378000E-01   0.622801E-01   0.118793E+01
   0.234526E+02   0.214555E+03   0.433437E+01   0.372843E+03   0.477149E+01   0.413300E-01   0.631835E-01   0.123867E+01
   0.261829E+02   0.214570E+03   0.404452E+01   0.372823E+03   0.492590E+01   0.445800E-01   0.629247E-01   0.128767E+01
   0.291210E+02   0.215207E+03   0.383942E+01   0.372804E+03   0.496214E+01   0.477200E-01   0.622858E-01   0.130928E+01
   0.322744E+02   0.215877E+03   0.385251E+01   0.372825E+03   0.483077E+01   0.508900E-01   0.574403E-01   0.133246E+01
   0.356505E+02   0.216004E+03   0.399696E+01   0.372847E+03   0.458139E+01   0.544800E-01   0.526697E-01   0.135729E+01
   0.392566E+02   0.215823E+03   0.398998E+01   0.373000E+03   0.434113E+01   0.579600E-01   0.467204E-01   0.138380E+01
   0.431001E+02   0.216123E+03   0.385044E+01   0.373167E+03   0.430286E+01   0.613400E-01   0.410717E-01   0.139967E+01
   0.471882E+02   0.216440E+03   0.381644E+01   0.373424E+03   0.410380E+01   0.681800E-01   0.382433E-01   0.141496E+01
   0.515278E+02   0.216364E+03   0.384732E+01   0.373733E+03   0.374270E+01   0.774700E-01   0.365403E-01   0.142939E+01
   0.561260E+02   0.216004E+03   0.385626E+01   0.374042E+03   0.336873E+01   0.862400E-01   0.354149E-01   0.144266E+01
   0.609895E+02   0.215577E+03   0.384055E+01   0.374332E+03   0.312794E+01   0.990300E-01   0.355541E-01   0.145444E+01
   0.661253E+02   0.215033E+03   0.385247E+01   0.374639E+03   0.301848E+01   0.112520E+00   0.357017E-01   0.147295E+01
   0.715398E+02   0.214724E+03   0.389121E+01   0.375060E+03   0.280853E+01   0.125310E+00   0.376011E-01   0.149246E+01
   0.772396E+02   0.214863E+03   0.391387E+01   0.375513E+03   0.241297E+01   0.139690E+00   0.399114E-01   0.151300E+01
   0.832310E+02   0.215330E+03   0.396203E+01   0.375977E+03   0.189585E+01   0.154210E+00   0.427197E-01   0.153459E+01
   0.895204E+02   0.215942E+03   0.405763E+01   0.376447E+03   0.127471E+01   0.168800E+00   0.461665E-01   0.155726E+01
   0.961138E+02   0.216775E+03   0.408041E+01   0.376936E+03   0.125735E+01   0.183380E+00   0.500695E-01   0.163875E+01
   0.103017E+03   0.217303E+03   0.410884E+01   0.377303E+03   0.135458E+01   0.197860E+00   0.540429E-01   0.168606E+01
   0.110237E+03   0.217719E+03   0.413268E+01   0.377686E+03   0.133723E+01   0.212140E+00   0.585358E-01   0.173553E+01
   0.117778E+03   0.217992E+03   0.416897E+01   0.377974E+03   0.128944E+01   0.226100E+00   0.625256E-01   0.176842E+01
   0.125646E+03   0.218271E+03   0.420164E+01   0.378193E+03   0.110192E+01   0.239650E+00   0.661147E-01   0.178882E+01
   0.133846E+03   0.218505E+03   0.424642E+01   0.378412E+03   0.924560E+00   0.252660E+00   0.700364E-01   0.180788E+01
   0.142385E+03   0.218878E+03   0.426788E+01   0.378589E+03   0.818390E+00   0.264990E+00   0.741281E-01   0.181490E+01
   0.151266E+03   0.218979E+03   0.437900E+01   0.378773E+03   0.629913E+00   0.276510E+00   0.786380E-01   0.182221E+01
   0.160496E+03   0.218799E+03   0.458116E+01   0.378962E+03   0.540522E+00   0.287070E+00   0.844370E-01   0.182502E+01
