! $Id: diverse_52profiles_101L.dat,v 1.2 2003/07/23 14:10:03 paulv Exp $
! $Revision: 1.2 $
!
!  ECMWF 52 diverse profiles from 60L set 
!  Prof50 = dry test / Prof51 = moist test / Prof52 = mean 
! Number Date/Time    Lat            Long            Ps(hPa)     Land fraction
!    P(hPa)           T(degK)         Wv(kg/kg)     Ozone(kg/kg)
#01 1993091512    0.241073E+02    0.382500E+02    0.972238E+03    0.686249E+00
    0.500000E-02    0.236768E+03    0.100000E-05    0.100000E-08
    0.161000E-01    0.221449E+03    0.101694E-05    0.381020E-07
    0.384000E-01    0.232509E+03    0.142110E-05    0.218476E-06
    0.769000E-01    0.238072E+03    0.181516E-05    0.529883E-06
    0.137000E+00    0.240557E+03    0.111043E-05    0.117308E-05
    0.224400E+00    0.247190E+03    0.401568E-05    0.188840E-05
    0.345400E+00    0.253456E+03    0.390740E-05    0.258512E-05
    0.506400E+00    0.259670E+03    0.402182E-05    0.330319E-05
    0.714000E+00    0.264693E+03    0.406460E-05    0.405793E-05
    0.975300E+00    0.268380E+03    0.370868E-05    0.503058E-05
    0.129720E+01    0.270837E+03    0.347806E-05    0.619016E-05
    0.168720E+01    0.269570E+03    0.263208E-05    0.761022E-05
    0.215260E+01    0.259483E+03    0.307961E-05    0.948714E-05
    0.270090E+01    0.243673E+03    0.276232E-05    0.115816E-04
    0.333980E+01    0.236854E+03    0.234797E-05    0.130421E-04
    0.407700E+01    0.233335E+03    0.243609E-05    0.140474E-04
    0.492040E+01    0.232584E+03    0.277340E-05    0.146431E-04
    0.587760E+01    0.233450E+03    0.237292E-05    0.149517E-04
    0.695670E+01    0.234343E+03    0.236314E-05    0.150620E-04
    0.816550E+01    0.234428E+03    0.234543E-05    0.150199E-04
    0.951190E+01    0.232935E+03    0.232127E-05    0.147701E-04
    0.110038E+02    0.231938E+03    0.230348E-05    0.143225E-04
    0.126492E+02    0.231277E+03    0.229024E-05    0.137821E-04
    0.144559E+02    0.231108E+03    0.228383E-05    0.131379E-04
    0.164318E+02    0.230508E+03    0.228152E-05    0.123626E-04
    0.185847E+02    0.229668E+03    0.228159E-05    0.115233E-04
    0.209224E+02    0.227538E+03    0.229060E-05    0.105312E-04
    0.234526E+02    0.225276E+03    0.230064E-05    0.955177E-05
    0.261829E+02    0.222033E+03    0.231676E-05    0.855797E-05
    0.291210E+02    0.219017E+03    0.233133E-05    0.759686E-05
    0.322744E+02    0.217434E+03    0.233398E-05    0.665228E-05
    0.356504E+02    0.215903E+03    0.233654E-05    0.573828E-05
    0.392566E+02    0.214311E+03    0.233406E-05    0.487341E-05
    0.431001E+02    0.212764E+03    0.233146E-05    0.403585E-05
    0.471882E+02    0.211247E+03    0.234833E-05    0.322593E-05
    0.515278E+02    0.209767E+03    0.237322E-05    0.244076E-05
    0.561259E+02    0.207999E+03    0.240193E-05    0.173993E-05
    0.609895E+02    0.205588E+03    0.243931E-05    0.118818E-05
    0.661252E+02    0.203242E+03    0.247568E-05    0.651406E-06
    0.715398E+02    0.200875E+03    0.250738E-05    0.423240E-06
    0.772395E+02    0.198561E+03    0.253788E-05    0.231225E-06
    0.832310E+02    0.196775E+03    0.261053E-05    0.123854E-06
    0.895203E+02    0.195563E+03    0.272974E-05    0.109005E-06
    0.961138E+02    0.194424E+03    0.284778E-05    0.949332E-07
    0.103017E+03    0.195246E+03    0.304103E-05    0.995836E-07
    0.110237E+03    0.196050E+03    0.322973E-05    0.104125E-06
    0.117777E+03    0.197707E+03    0.342827E-05    0.108850E-06
    0.125646E+03    0.199954E+03    0.363252E-05    0.113677E-06
    0.133846E+03    0.202228E+03    0.388638E-05    0.117962E-06
    0.142385E+03    0.204888E+03    0.444454E-05    0.119672E-06
    0.151266E+03    0.207491E+03    0.499067E-05    0.121346E-06
    0.160496E+03    0.210309E+03    0.571239E-05    0.122115E-06
    0.170078E+03    0.213163E+03    0.648523E-05    0.122560E-06
    0.180018E+03    0.216040E+03    0.720491E-05    0.122879E-06
    0.190320E+03    0.219004E+03    0.784242E-05    0.122979E-06
    0.200989E+03    0.221909E+03    0.846531E-05    0.123075E-06
    0.212028E+03    0.224759E+03    0.829658E-05    0.122540E-06
    0.223441E+03    0.227554E+03    0.813111E-05    0.122015E-06
    0.235234E+03    0.230247E+03    0.900827E-05    0.121452E-06
    0.247408E+03    0.232867E+03    0.103357E-04    0.120878E-06
    0.259969E+03    0.235478E+03    0.145937E-04    0.120539E-06
    0.272919E+03    0.238098E+03    0.230090E-04    0.120528E-06
    0.286262E+03    0.240721E+03    0.313941E-04    0.120514E-06
    0.300000E+03    0.243559E+03    0.402609E-04    0.120484E-06
    0.314137E+03    0.246347E+03    0.489708E-04    0.120455E-06
    0.328675E+03    0.249239E+03    0.419844E-04    0.120064E-06
    0.343618E+03    0.252090E+03    0.342284E-04    0.119659E-06
    0.358966E+03    0.254343E+03    0.397091E-04    0.117864E-06
    0.374724E+03    0.256391E+03    0.490896E-04    0.115673E-06
    0.390892E+03    0.257644E+03    0.376681E-03    0.113634E-06
    0.407474E+03    0.258424E+03    0.888710E-03    0.111696E-06
    0.424470E+03    0.259132E+03    0.109837E-02    0.111100E-06
    0.441882E+03    0.259777E+03    0.104563E-02    0.111667E-06
    0.459712E+03    0.260673E+03    0.134255E-02    0.111862E-06
    0.477961E+03    0.261829E+03    0.200000E-02    0.111673E-06
    0.496630E+03    0.263514E+03    0.263466E-02    0.110429E-06
    0.515720E+03    0.265713E+03    0.324717E-02    0.108161E-06
    0.535232E+03    0.267994E+03    0.384137E-02    0.106820E-06
    0.555167E+03    0.270324E+03    0.442015E-02    0.106137E-06
    0.575525E+03    0.272573E+03    0.486798E-02    0.106314E-06
    0.596306E+03    0.274772E+03    0.526443E-02    0.106797E-06
    0.617511E+03    0.277138E+03    0.564890E-02    0.106939E-06
    0.639140E+03    0.279545E+03    0.598751E-02    0.106816E-06
    0.661192E+03    0.282100E+03    0.621176E-02    0.106018E-06
    0.683667E+03    0.284597E+03    0.630292E-02    0.105326E-06
    0.706565E+03    0.287055E+03    0.629375E-02    0.104843E-06
    0.729886E+03    0.289521E+03    0.609773E-02    0.105214E-06
    0.753627E+03    0.291921E+03    0.564565E-02    0.106200E-06
    0.777789E+03    0.294348E+03    0.524725E-02    0.107467E-06
    0.802371E+03    0.296870E+03    0.505226E-02    0.108806E-06
    0.827371E+03    0.299475E+03    0.488672E-02    0.110106E-06
    0.852788E+03    0.302098E+03    0.483297E-02    0.111591E-06
    0.878620E+03    0.304660E+03    0.478441E-02    0.114037E-06
    0.904866E+03    0.307259E+03    0.475191E-02    0.115001E-06
    0.931523E+03    0.309783E+03    0.472376E-02    0.106658E-06
    0.958591E+03    0.312049E+03    0.470290E-02    0.927719E-07
    0.986066E+03    0.315244E+03    0.794769E-02    0.431351E-07
    0.101395E+04    0.315244E+03    0.772221E-02    0.431351E-07
